범죄별,2014,2015,2016,2017,2018,2019,2020
절도,266784,246424,203573,184355,177458,187629,180067
장물,3668,4263,2086,1934,965,925,616
사기,244008,257620,250600,241642,278566,313593,354154
횡령,38646,48795,52069,52610,57172,60819,60539
배임,5819,5843,5757,5237,5788,5996,5178
손괴,58194,59181,59360,56558,56988,58468,58504
살인,938,958,948,858,849,847,805
강도,1618,1472,1181,990,841,845,692
방화,1707,1646,1477,1358,1478,1345,1210
성폭력,29863,31063,29357,32824,32104,32029,30105
폭행,146625,161636,172071,165498,164500,161915,143600
상해,65840,62700,55761,49376,43666,40306,36022
협박,9205,14107,16444,16007,17777,21648,21814
공갈,7162,5356,4763,4981,4823,5574,5993
약취와 유인,206,195,203,216,199,260,223
체포와 감금,1265,1383,1579,1728,1494,1591,1467
폭력행위등(손괴강요주거침입등),2140,2207,878,843,769,853,982
폭력행위등(단체등의구성 활동),1212,1123,190,140,164,169,140
통화,2770,1823,1811,2798,1203,1026,627
유가증권·인지·우표,437,353,293,312,246,200,118
문서,17927,18002,15671,15369,14877,14982,14282
인장,528,700,794,1023,1209,563,587
소계,2705,3286,3103,3845,4422,3879,3689
직무유기,1072,1052,1070,1316,1558,1365,1419
직권남용,833,992,1040,1372,1835,1784,1668
수뢰,530,767,629,762,757,540,472
증뢰,270,475,364,395,272,190,130
소계,9580,10252,15856,12161,9097,11447,10951
도박과 복표,7448,7823,13084,8799,6074,8086,8068
신앙,268,304,272,323,374,365,228
과실치사상,1872,2143,2266,2583,2806,3130,2883
업무상과실치사상,3150,3322,3388,3485,3621,3713,3604
실화,2070,2134,2054,2351,2409,2333,2386
명예,26371,31114,29280,26054,28827,29938,30733
권리행사방해,5338,6815,9191,12182,13482,12037,9221
신용업무경매,21639,24068,24744,22744,23629,23107,22917
주거침입,8718,10348,11763,11966,13701,17181,18342
비밀침해,73,73,102,113,112,128,151
유기,157,131,221,312,332,260,235
교통방해,1713,1790,2083,1388,1429,1382,1454
공무방해,15464,14788,15130,12926,11369,12056,11238
도주와범인은닉,557,619,462,546,430,364,332
위증과증거인멸,3447,3947,3461,3629,3335,2887,2370
무고,4859,5386,5560,5752,6049,5701,5908
공안을해하는죄,27,54,66,78,107,171,185
내란의죄,4,1,12,20,25,16,33
음용수에관한죄,17,22,31,21,17,16,25
일수와수리에관한죄,3,6,4,7,10,10,8
기타,1883,612,46,45,53,56,48
가정폭력범죄의 처벌등에 관한특례법,184,236,210,197,361,395,402
가축분뇨의 관리 및 이용에 관한법률,888,923,890,829,955,956,948
감염병의 예방 및 관리에 관한법률,139,127,89,110,95,219,2482
개발제한구역의 지정 및 관리에 관한 특별조치법,1127,1223,1136,966,870,678,673
개인정보보호법,1332,1075,1066,1199,1498,1719,2198
건강기능식품에 관한법률,537,413,575,475,374,302,239
건설기계관리법,520,477,491,561,710,1081,333
건설산업기본법,692,1111,1940,3861,1992,912,697
건축법,5333,4644,4023,4430,4047,3947,3401
게임산업진흥에 관한법률,5640,7368,8044,7343,5078,4480,3918
결혼중개업의 관리에 관한법률,359,179,92,75,112,89,83
경범죄처벌법,4481,5699,7304,6491,6713,7638,7702
고용보험법,339,673,1961,2271,2018,2739,2606
공유수면관리 및 매립에 관한법률,817,4169,5350,1087,4179,6040,9005
공유재산 및 물품관리법,1864,88,1112,353,57,1562,111
공인중개사법,1413,1239,1010,955,1226,886,911
공중위생관리법,1093,1290,1707,1594,1704,1939,2212
공직선거법,2260,294,1612,849,2231,82,1439
관세법,720,668,725,1017,746,860,599
교통사고처리특례법,193099,200301,193032,185509,192030,199592,184990
국가기술자격법,325,90,232,167,60,1106,397
국가보안법,94,93,49,51,57,54,51
국민체육진흥법,1895,776,869,470,226,388,384
국토의계획 및 이용에 관한법률,1034,1330,1366,1569,1177,1558,1333
근로기준법,44409,43002,44492,44323,46856,46503,36972
근로자 퇴직급여 보장법,13551,13619,14452,14003,14352,13466,10321
낚시관리 및 육성법,297,524,1742,991,561,1157,1036
노동조합 및 노동관계조정법,526,477,429,528,709,631,603
농수산물유통 및 가격안정에 관한법률,232,33,38,33,35,41,30
농수산물의 원산지표시에 관한법률,3458,3353,4137,3318,3975,2849,2068
농지법,821,954,983,844,743,746,878
대기환경보전법,1831,1995,2277,2725,2551,2633,2379
대부업 등의 등록 및 금융이용자 보호에 관한법률,1565,1022,1053,1386,1496,1603,1320
도로교통법,14988,18189,17948,17265,13958,14804,13383
도로교통법(무면허운전),35737,42320,67203,47087,24440,23588,21368
도로교통법(사고후미조치),86561,100774,97062,50247,15241,12220,11717
도로교통법(음주운전),219392,211014,201979,178693,140515,107425,95569
도로교통법(음주측정거부),2422,2574,2593,2805,2945,2691,2926
도로법,1082,1334,2059,2195,2056,2131,2117
도시 및 주거환경정비법,351,301,382,366,417,513,471
독점규제 및 공정거래에 관한법률,52,34,21,39,77,51,35
디자인보호법,322,227,182,213,243,303,460
마약류관리에 관한법률(대마),778,923,843,1087,944,1566,1790
마약류관리에 관한법률(마약),606,1100,1215,1305,1283,1437,1899
마약류관리에 관한법률(향정),4700,6350,6742,6798,5592,6289,6916
물환경보전법,1005,937,944,1842,1844,789,668
배타적경제수역에서의 외국인어업등에 관한 주권적권리의 행사에 관한법률,244,416,358,287,192,149,79
범죄수익은닉의 규제 및 처벌등에 관한법률,204,297,240,263,355,311,296
변호사법,791,945,868,886,716,560,459
병역법,7361,6218,6375,7317,6941,6331,2063
보조금관리에 관한법률,676,1109,527,702,358,1156,1066
부동산실권리자 명의등기에 관한법률,518,462,489,456,486,417,475
부정경쟁방지 및 영업비밀 보호에 관한법률,525,491,563,480,625,560,674
부정수표단속법,4283,3175,2299,1946,1781,1603,850
사행행위 등 규제 및 처벌특례법,1249,1008,798,442,305,261,263
산림자원의 조성 및 관리에 관한법률,820,1030,911,856,732,837,880
산업안전보건법,4519,4329,5802,6439,6499,7689,4847
산지관리법,2305,2858,2788,2649,2473,2431,2594
상표법,4282,4352,4395,3587,3489,3828,3078
석유 및 석유대체연료 사업법,969,674,752,1019,1576,1336,998
선박안전법,1170,1125,2670,2290,1946,1110,1937
선박직원법,1111,1905,639,600,2179,2202,4322
성매매알선 등 행위의 처벌에 관한법률,7794,7669,15496,10415,6978,5241,3511
수도법,149,87,132,208,151,128,168
수산업법,1422,4168,4441,4822,2897,3934,5744
수산자원관리법,1493,2107,1707,1584,2017,2235,2305
식품위생법,10463,9929,11116,8933,6800,7480,6734
신용정보의 이용 및 보호에 관한법률,40,33,48,64,22,37,54
아동청소년의 성보호에 관한법률(성매수등),359,336,424,745,345,319,286
아동청소년의 성보호에 관한법률(음란물등),735,648,838,491,993,748,-
아동·청소년의성보호에관한법률(성착취물등),-,-,-,-,-,-,2684
아동복지법,845,1804,3150,3649,4123,5444,6238
액화석유가스의 안전관리 및 사업법,202,239,95,97,84,97,107
약사법,2934,2336,1544,1151,844,1024,1222
여객자동차 운수사업법,1359,2081,1199,1827,723,1207,898
여신전문금융업법,4570,3807,2555,2259,2411,2269,2138
영유아보육법,477,222,305,202,173,195,144
예비군법,14235,12555,10326,8085,7428,6475,1855
옥외광고물등의 관리와 옥외광고산업진흥에 관한법률,852,914,1026,687,356,217,162
외국환거래법,1761,1303,806,765,868,747,312
위험물안전관리법,421,467,522,1125,450,498,729
유사수신행위의 규제에 관한법률,330,353,866,853,871,1203,1096
의료기기법,459,349,425,421,534,292,415
의료법,2317,2597,2254,2864,3154,3593,3076
자동차관리법,20568,20756,32623,25013,21464,22193,24870
자동차 손해배상 보장법,33833,38343,57554,43035,28585,23741,19485
자본시장과 금융투자업에 관한법률,1,-,215,329,376,339,346
저작권법,27957,39624,21111,13998,10284,8140,6826
전자금융거래법,7161,9187,6126,6048,8318,8648,6743
전파법,473,612,548,570,647,1930,405
정보통신망이용촉진 및 정보보호 등에 관한법률,12851,13561,14059,13389,14905,15459,17763
조세범처벌법,4216,3778,3454,3358,3044,2998,2854
주민등록법,2941,3235,2436,1812,2211,1770,2137
주차장법,333,354,300,332,240,155,104
주택법,306,466,597,530,586,662,597
직업안정법,872,525,406,473,391,343,208
집회및시위에 관한법률,411,520,531,260,192,225,282
청소년보호법,9006,9118,8862,9082,8351,8065,7690
총포·도검·화약류등의 안전관리에 관한법률,365,280,166,48,349,371,392
최저임금법,388,470,570,665,821,884,814
축산물위생관리법,1707,1443,1354,1730,572,495,305
출입국관리법,1710,1915,2975,2407,2633,4306,2584
통신비밀보호법,155,151,169,178,237,268,297
특가법(도주차량),12371,12233,8954,4811,2833,405,9821
특허법,237,219,237,207,201,228,212
폐기물관리법,1221,1139,1303,1638,1776,1945,2118
풍속영업의 규제에 관한법률,311,222,237,205,156,87,77
하천법,286,292,266,213,219,266,244
학교보건법,607,711,559,82,3,9,-
학원의 설립운영 및 과외교습에 관한법률,900,722,534,511,512,409,382
화물자동차 운수사업법,2074,2090,1550,2110,2393,2305,3198
화재로 인한 재해보상과 보험가입에 관한법률,100,44,59,15,9,13,23
화재예방·소방시설설치유지 및 안전관리에 관한법률,425,550,175,25,389,513,391
화학물질관리법,527,557,646,679,478,638,702
기타특별법,28198,39913,40615,50270,54393,61657,51472
